label,message,tokens
spam,Reply to win £100 weekly! Where will the 2006 FIFA World Cup be held? Send STOP to 87239 to end service,"['reply', 'win', '£100', 'weekly', '2006', 'fifa', 'world', 'cup', 'held', 'send', 'stop', '87239', 'end', 'service']"
ham,"Hello. Sort of out in town already. That . So dont rush home, I am eating nachos. Will let you know eta.","['hello', 'sort', 'town', 'already', 'dont', 'rush', 'home', 'eating', 'nachos', 'let', 'know', 'eta']"
ham,How come guoyang go n tell her? Then u told her?,"['come', 'guoyang', 'go', 'n', 'tell', 'u', 'told']"
ham,Hey sathya till now we dint meet not even a single time then how can i saw the situation sathya.,"['hey', 'sathya', 'till', 'dint', 'meet', 'even', 'single', 'time', 'saw', 'situation', 'sathya']"
spam,"Orange brings you ringtones from all time Chart Heroes, with a free hit each week! Go to Ringtones & Pics on wap. To stop receiving these tips reply STOP.","['orange', 'brings', 'ringtones', 'time', 'chart', 'heroes', 'free', 'hit', 'week', 'go', 'ringtones', 'pics', 'wap', 'stop', 'receiving', 'tips', 'reply', 'stop']"
ham,Sitting in mu waiting for everyone to get out of my suite so I can take a shower,"['sitting', 'mu', 'waiting', 'everyone', 'get', 'suite', 'take', 'shower']"
ham,Finish liao... U?,"['finish', 'liao', '...', 'u']"
spam,"URGENT! Your Mobile No 07808726822 was awarded a £2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9758 BOX95QU","['urgent', 'mobile', '07808726822', 'awarded', '£2,000', 'bonus', 'caller', 'prize', '02/09/03', '2nd', 'attempt', 'contact', 'call', '0871-872-9758', 'box95qu']"
ham,"Probably not, still going over some stuff here","['probably', 'still', 'going', 'stuff']"
ham,Wah lucky man... Then can save money... Hee...,"['wah', 'lucky', 'man', '...', 'save', 'money', '...', 'hee', '...']"
ham,Hey u still at the gym?,"['hey', 'u', 'still', 'gym']"
ham,Oh... Lk tt den we take e one tt ends at cine lor... Dun wan yogasana oso can... ,"['oh', '...', 'lk', 'tt', 'den', 'take', 'e', 'one', 'tt', 'ends', 'cine', 'lor', '...', 'dun', 'wan', 'yogasana', 'oso', '...']"
ham,Ok lor...,"['ok', 'lor', '...']"
ham,If you still havent collected the dough pls let me know so i can go to the place i sent it to get the control number,"['still', 'havent', 'collected', 'dough', 'pls', 'let', 'know', 'go', 'place', 'sent', 'get', 'control', 'number']"
ham,Stupid.its not possible,"['stupid.its', 'possible']"
spam,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,"['u', 'secret', 'admirer', 'reveal', 'thinks', 'u', 'r', 'special', 'call', '09065174042.', 'opt', 'reply', 'reveal', 'stop', '1.50', 'per', 'msg', 'recd', 'cust', 'care', '07821230901']"
ham,Amazing : If you rearrange these letters it gives the same meaning... Dormitory = Dirty room Astronomer = Moon starer The eyes = They see Election results = Lies lets recount Mother-in-law = Woman Hitler Eleven plus two =Twelve plus one Its Amazing... !:-),"['amazing', 'rearrange', 'letters', 'gives', 'meaning', '...', 'dormitory', 'dirty', 'room', 'astronomer', 'moon', 'starer', 'eyes', 'see', 'election', 'results', 'lies', 'lets', 'recount', 'mother-in-law', 'woman', 'hitler', 'eleven', 'plus', 'two', '=twelve', 'plus', 'one', 'amazing', '...']"
spam,CALL 09090900040 & LISTEN TO EXTREME DIRTY LIVE CHAT GOING ON IN THE OFFICE RIGHT NOW TOTAL PRIVACY NO ONE KNOWS YOUR [sic] LISTENING 60P MIN 24/7MP 0870753331018+,"['call', '09090900040', 'listen', 'extreme', 'dirty', 'live', 'chat', 'going', 'office', 'right', 'total', 'privacy', 'one', 'knows', 'sic', 'listening', '60p', 'min', '24/7mp', '0870753331018+']"
ham,Which is why i never wanted to tell you any of this. Which is why i'm so short with you and on-edge as of late.,"['never', 'wanted', 'tell', ""'m"", 'short', 'on-edge', 'late']"
ham,Where are you?when wil you reach here?,"['wil', 'reach']"
ham,Oh yeah! And my diet just flew out the window,"['oh', 'yeah', 'diet', 'flew', 'window']"
ham,"Oh! Shit, I thought that was your trip! Loooooool ... That just makes SO much more sense now ... *grins* and the sofa reference was ... The ""sleep on a couch"" link you sent me ... Wasn't that how you went on your trip ? Oh ... And didn't your babe go with you for that celebration with your rents?","['oh', 'shit', 'thought', 'trip', 'loooooool', '...', 'makes', 'much', 'sense', '...', 'grins', 'sofa', 'reference', '...', '``', 'sleep', 'couch', ""''"", 'link', 'sent', '...', ""n't"", 'went', 'trip', 'oh', '...', ""n't"", 'babe', 'go', 'celebration', 'rents']"
ham,Sending you greetings of joy and happiness. Do have a gr8 evening,"['sending', 'greetings', 'joy', 'happiness', 'gr8', 'evening']"
ham,Armand says get your ass over to epsilon,"['armand', 'says', 'get', 'ass', 'epsilon']"
ham,Aiyah u did ok already lar. E nydc at wheellock?,"['aiyah', 'u', 'ok', 'already', 'lar', 'e', 'nydc', 'wheellock']"
ham,Don know..he is watching film in computer..,"['know', '..', 'watching', 'film', 'computer', '..']"
ham,No..but heard abt tat..,"['..', 'heard', 'abt', 'tat', '..']"
ham,Oops sorry. Just to check that you don't mind picking me up tomo at half eight from station. Would that be ok?,"['oops', 'sorry', 'check', ""n't"", 'mind', 'picking', 'tomo', 'half', 'eight', 'station', 'would', 'ok']"
ham,Anytime lor...,"['anytime', 'lor', '...']"
ham,Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8,"['friendship', 'poem', 'dear', 'dear', 'u', 'r', 'near', 'hear', 'dont', 'get', 'fear', 'live', 'cheer', 'tear', 'u', 'r', 'always', 'dear', 'gud', 'ni8']"
ham,Yar else i'll thk of all sorts of funny things.,"['yar', 'else', ""'ll"", 'thk', 'sorts', 'funny', 'things']"
ham,"Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical","['love', ""n't"", 'decision', ""'s"", 'feeling', 'could', 'decide', 'love', 'life', 'would', 'much', 'simpler', 'less', 'magical']"
ham,Those were my exact intentions,"['exact', 'intentions']"
ham,"Erm... Woodland avenue somewhere. Do you get the parish magazine, his telephone number will be in there.","['erm', '...', 'woodland', 'avenue', 'somewhere', 'get', 'parish', 'magazine', 'telephone', 'number']"
ham,Every day i use to sleep after  &lt;#&gt;  so only.,"['every', 'day', 'use', 'sleep', 'lt', 'gt']"
ham,"I jus hope its true that  missin me cos i'm really missin him! You haven't done anything to feel guilty about, yet.","['jus', 'hope', 'true', 'missin', 'cos', ""'m"", 'really', 'missin', ""n't"", 'done', 'anything', 'feel', 'guilty', 'yet']"
ham,Yup it's at paragon... I havent decided whether 2 cut yet... Hee...,"['yup', ""'s"", 'paragon', '...', 'havent', 'decided', 'whether', '2', 'cut', 'yet', '...', 'hee', '...']"
spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,"['hmv', 'bonus', 'special', '500', 'pounds', 'genuine', 'hmv', 'vouchers', 'answer', '4', 'easy', 'questions', 'play', 'send', 'hmv', '86688', 'info', 'www.100percent-real.com']"
spam,"Final Chance! Claim ur £150 worth of discount vouchers today! Text YES to 85023 now! SavaMob, member offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Subs 16","['final', 'chance', 'claim', 'ur', '£150', 'worth', 'discount', 'vouchers', 'today', 'text', 'yes', '85023', 'savamob', 'member', 'offers', 'mobile', 'cs', 'savamob', 'pobox84', 'm263uz', '£3.00', 'subs', '16']"
ham,Its sarcasm.. .nt scarcasim,"['sarcasm', '..', '.nt', 'scarcasim']"
ham,Wherre's my boytoy ? :-(,"['wherre', ""'s"", 'boytoy']"
ham,"OH MR SHEFFIELD! You wanna play THAT game, okay. You're the boss and I'm the nanny. You give me a raise and I'll give YOU one!!","['oh', 'mr', 'sheffield', 'wan', 'na', 'play', 'game', 'okay', ""'re"", 'boss', ""'m"", 'nanny', 'give', 'raise', ""'ll"", 'give', 'one']"
ham,Prepare to be pleasured :),"['prepare', 'pleasured']"
ham,I'm really sorry i won't b able 2 do this friday.hope u can find an alternative.hope yr term's going ok:-),"[""'m"", 'really', 'sorry', 'wo', ""n't"", 'b', 'able', '2', 'friday.hope', 'u', 'find', 'alternative.hope', 'yr', 'term', ""'s"", 'going', 'ok']"
ham,"Good morning, im suffering from fever and dysentry ..will not be able to come to office today.","['good', 'morning', 'im', 'suffering', 'fever', 'dysentry', '..', 'able', 'come', 'office', 'today']"
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1,"['ur', 'cash-balance', 'currently', '500', 'pounds', 'maximize', 'ur', 'cash-in', 'send', 'cash', '86688', '150p/msg', 'cc', '08718720201', 'po', 'box', '114/14', 'tcr/w1']"
ham,Oh that was a forwarded message. I thought you send that to me,"['oh', 'forwarded', 'message', 'thought', 'send']"
ham,K..give back my thanks.,"['k', '..', 'give', 'back', 'thanks']"
ham,Some of them told accenture is not confirm. Is it true.,"['told', 'accenture', 'confirm', 'true']"
ham,Hey do you want anything to buy:),"['hey', 'want', 'anything', 'buy']"
spam,100 dating service cal;l 09064012103 box334sk38ch,"['100', 'dating', 'service', 'cal', 'l', '09064012103', 'box334sk38ch']"
ham,Can you use foreign stamps for whatever you send them off for? ,"['use', 'foreign', 'stamps', 'whatever', 'send']"
ham,Haha... Hope ü can hear the receipt sound... Gd luck!,"['haha', '...', 'hope', 'ü', 'hear', 'receipt', 'sound', '...', 'gd', 'luck']"
ham,No chikku nt yet.. Ya i'm free,"['chikku', 'nt', 'yet', '..', 'ya', ""'m"", 'free']"
ham,I'll be at mu in like  &lt;#&gt;  seconds,"[""'ll"", 'mu', 'like', 'lt', 'gt', 'seconds']"
ham,Cant think of anyone with * spare room off * top of my head,"['cant', 'think', 'anyone', 'spare', 'room', 'top', 'head']"
